entry_id,date,posting_time,posting_datetime,department,gl_account,account_description,vendor,amount,preparer,approver,po_number,invoice_number,po_amount,invoice_amount,payment_amount,planted_anomaly_type
100534,2024-01-01,09:24:00,2024-01-01 09:24:00,IT,5000,Raw Materials Expense,"Howard, Tucker and Flores",3772.81,Michael Rivas,Jeffrey Hancock,PO83001,INV635687,3772.81,3772.81,3772.81,none
103270,2024-01-01,10:12:00,2024-01-01 10:12:00,Sales,5300,Professional Fees,Larson PLC,14698.16,Michael Fox,Jeffrey Hancock,PO314779,INV652616,14698.16,14698.16,14698.16,none
100731,2024-01-01,11:05:00,2024-01-01 11:05:00,Sales,5500,Utilities,"Brown, Baker and Alvarado",14696.45,Dawn Hall,Lawrence Davis,PO881236,INV991598,14696.45,14696.45,14696.45,none
103381,2024-01-01,11:31:00,2024-01-01 11:31:00,Procurement,5000,Raw Materials Expense,Raymond-Lucas,36706.24,Janice Bush,Sergio Arroyo,PO88088,INV505880,36706.24,36706.24,36706.24,none
104584,2024-01-01,13:01:00,2024-01-01 13:01:00,Sales,5100,Office Supplies,Pearson PLC,6997.03,Michael Fox,Anita Harris,PO362999,INV98206,6997.03,6997.03,6997.03,none
103958,2024-01-01,13:30:00,2024-01-01 13:30:00,Sales,5100,Office Supplies,Galvan Group,28475.34,Sergio Arroyo,James Dennis,PO437667,INV483360,28475.34,28475.34,28475.34,none
104434,2024-01-01,13:41:00,2024-01-01 13:41:00,HR,5200,Travel & Entertainment,Reyes-Glover,26299.24,Mary Harrison,Gary Mays,PO183264,INV283336,26299.24,26299.24,26299.24,none
100714,2024-01-01,15:33:00,2024-01-01 15:33:00,IT,5100,Office Supplies,White-Thomas,15660.09,Taylor Carroll,Sergio Arroyo,PO980380,INV639468,15660.09,15660.09,15660.09,none
104899,2024-01-01,17:36:00,2024-01-01 17:36:00,Marketing,5500,Utilities,Jones Inc,48084.68,Donald Ferguson,Donald Ferguson,PO713432,INV60099,48084.68,48084.68,48084.68,segregation_violation
100777,2024-01-01,17:52:00,2024-01-01 17:52:00,Operations,5200,Travel & Entertainment,Lopez Ltd,27715.26,Michael Fox,Autumn Reed,PO665571,INV923610,27715.26,27715.26,27715.26,none
100023,2024-01-01,18:20:00,2024-01-01 18:20:00,Finance,6000,Vendor Payments,Hughes-Nichols,4282.35,Sergio Arroyo,Joy Hernandez,PO310007,INV271080,4282.35,4282.35,4282.35,none
100529,2024-01-01,18:25:00,2024-01-01 18:25:00,Sales,5300,Professional Fees,"Morton, Reynolds and Anderson",7830.87,Patricia Perry,Elizabeth Shea,PO527289,INV526034,7830.87,7830.87,7830.87,none
103753,2024-01-02,09:18:00,2024-01-02 09:18:00,Procurement,5300,Professional Fees,Gomez Ltd,22225.16,Nicole Clarke,Corey Jones,PO95608,INV46888,22225.16,22225.16,22225.16,none
100351,2024-01-02,09:19:00,2024-01-02 09:19:00,HR,5300,Professional Fees,Nichols LLC,2608.12,Elizabeth Shea,Lawrence Davis,PO254069,INV965418,2608.12,2608.12,2608.12,none
103067,2024-01-02,09:22:00,2024-01-02 09:22:00,Procurement,5300,Professional Fees,Murphy Inc,10405.69,Kyle King,Leslie Robinson,PO394207,INV653847,10405.69,10405.69,10405.69,none
101709,2024-01-02,10:11:00,2024-01-02 10:11:00,IT,5200,Travel & Entertainment,Stewart-Russell,12004.56,Taylor Carroll,Patricia Perry,PO682397,INV448975,12004.56,12004.56,12004.56,none
104319,2024-01-02,10:15:00,2024-01-02 10:15:00,Procurement,5400,IT & Software,"Morton, Reynolds and Anderson",37979.88,Gerald Freeman,Denise Elliott,PO610141,INV285976,37979.88,37979.88,37979.88,none
104954,2024-01-02,10:30:00,2024-01-02 10:30:00,IT,5200,Travel & Entertainment,Larson PLC,151386.39,Thomas Martin,Autumn Reed,PO975865,INV812493,151386.39,151386.39,151386.39,unusual_amount
102785,2024-01-02,11:36:00,2024-01-02 11:36:00,Marketing,6000,Vendor Payments,"Silva, Jones and Oliver",7924.18,Timothy Johnson,Alyssa Jackson,PO912277,INV115578,7924.18,7924.18,7924.18,none
103318,2024-01-02,12:25:00,2024-01-02 12:25:00,Marketing,6000,Vendor Payments,White-Thomas,6921.87,Taylor Carroll,Lindsey Lewis,PO247472,INV590670,6921.87,6921.87,6921.87,none
103776,2024-01-02,14:14:00,2024-01-02 14:14:00,Sales,5200,Travel & Entertainment,"Smith, Montgomery and Reyes",13706.72,Sean Kelly,Brittany Jackson,PO406190,INV942613,13706.72,13706.72,13706.72,none
100053,2024-01-02,14:49:00,2024-01-02 14:49:00,IT,5300,Professional Fees,Harper-Hernandez,25698.18,Gary Stone,Donna Weber,PO118362,INV493922,25698.18,25698.18,25698.18,none
100038,2024-01-02,15:16:00,2024-01-02 15:16:00,Marketing,5300,Professional Fees,White-Thomas,10887.98,Lindsey Lewis,Patricia Lopez,PO142956,INV397484,10887.98,10887.98,10887.98,none
104055,2024-01-02,15:26:00,2024-01-02 15:26:00,IT,5400,IT & Software,"Hernandez, Hopkins and Houston",34522.75,Jeffrey Hancock,Autumn Reed,PO78899,INV883269,34522.75,34522.75,34522.75,none
103034,2024-01-02,15:31:00,2024-01-02 15:31:00,HR,5500,Utilities,Humphrey-Berg,14706.61,James Dennis,Thomas Martin,PO315622,INV297316,14706.61,14706.61,14706.61,none
102707,2024-01-02,15:34:00,2024-01-02 15:34:00,Marketing,5100,Office Supplies,"Silva, Jones and Oliver",13731.91,Autumn Reed,Brittany Jackson,PO749639,INV40055,13731.91,13731.91,13731.91,none
